muskiy,oler
muskiy,olfatear
manka,olla
ulluku,olluco
asya,olores desagradables
pupu,ombligo
mañakuna,oración (petición)
qapiy,ordeñar
rinri,orejas
rinri,oído
raka,órgano sexual femenino
kuchun,orilla
ishpay,orina
ishpay,orinar
quri,oro
shinwa,ortiga
ukuku,oso
uturunku,otorongo
uusha,oveja
kururay,ovillar
kuriy,ovillo
watya,pachamanca
yaya,padre
tayta,padre
yayan,padrillo
rapi,página
rapi,papel
uqsha,paja
qachi,paja brava
pishqu,pájaro
akaka,pájaro carpintero
akaka,pito
urpi,paloma
palta,palta
tanta,pan
tantakshu,panecillo de harina
wara,pantalón
hunqu,pantano
tunkashqa,paralítico
niraq,parecido a
niraq,semejante
pirqa,pared
rara,parte alta
hana,parte de arriba
hana,encima
tsiqtay,partir leña
mitsiy,pastear
haytay,patear
haytay,dar de puntapíes
hutsa,pecado
mañay,pedir
supi,pedo
ranra,pedregal
naqtsay,peinar
naqtsa,peine
qala,pelado
qala,calvo
qala,lampiño
llushtuy,pelar cereal
shipray,pelar
shipray,mondar
tipshiy,pellizcar
warka,pelo de niño antes del primer corte
haytana,pelota
rani,pene
ichik,pequeño
ichik,poco
chakwa,perdiz
pampatsay,perdonar
piruru,perinola
piruru,disco de piedra para el uso
allqu,perro
pichis,perro pequeño
lasaq,pesado
challwakuy,pescar
qipsha,pestaña
challwa,pez
challwa,pescado
chiwchiw,piar de los pájaros
winchus,picaflor
ayaq,picante
tawshiy,picar
tawshipay,picotear
chaki,pie
rumi,piedra
umiña,piedra preciosa
qara,piel
chanka,pierna
chanka,muslo
llushiy,pintar
uha,piojo
piki,pique
pirqay,pircar
pirqay,levantar una pared
illawa,pita de tejido
yura,planta
waqsallu,planta medicinal llamado «pájaro bobo»
titi,plomo
puru,pluma
waktsa,pobre
pishi,poco
llumay,podar
ismuy,podrir
harawi,poesía
puyu,polilla
ruripa,pollera
chipi,pollo
punchu,poncho
hinanpa,por doquiera
wayllapampa,prado
wayllapampa,pradera
chani,precio
tsamqay,preparar el trigo semimolido
warka rutuy,primer corte de pelo
kitañaakuy,primer corte de pelo
llamiy,probar
llamiy,saborear
tsurikuy,procrear el hombre
yachatsikuq,profesor
michakuy,prohibir
michakuy,mezquinar
suyucha,provincia
marka,pueblo
marka,cultura
tsaka,puente
punku,puerta
puywan,pulmones
aptay,puñado
kukuchi,puño
tsuyaatsiy,purificar el agua; aclarar
isqiy,pus
raimondi kunkush,puya
raqra,quebrada
raqra,abra
kayay,quemar
